Q_ID,Q_RAD,Questions Text,Question Print,Question Type,,,,,,,,,,,,,,,,,,,,,,,
Q0215,,HLA (DQ2/DQ8) typing is only available for children with positive coeliac serology. Any other requests will not be processed.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0216,,We will culture for MSSA & MRSA (Quarterly Screen),For MSSA & MRSA,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0217,,"Please protect all samples for porphyrin testing from light (urine, blood and faeces)",Protect all samples from light,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0218,,Please discuss with a Consultant Haematologist before ordering. All requests will be vetted.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0219,,Please enter fluid type in ''Data for return on report'' box in lower right hand corner of request screen.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0220,,Please ensure you have followed current guidelines for patient consent (for HIV testing).,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0221,,Please discuss with a Consultant Haematologist before ordering - all requests will be vetted.,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0222,,Please use this test for the 2hr specimen of a GTT.   You should also request a Glucose - Baseline (75g Oral GTT). (Already included if using GTT Test Group).,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0223,,This is a screen for patients going on to treatment with biologics or chemotherapy.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0224,,A TROUGH level sample should be taken just before the next infusion is given (min 6 weeks post previous infusion). It is advised that samples are only collected from patients on maintenance Inflliximab therapy.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0225,,Please provide the infusion dosing interval,Infusion dosing interval:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0226,,"Please provide the reason for request, e.g. poor response",Reason for request:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0227,,Please provide the number of infusions to date,Number of infusions:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0228,,Please provide the primary diagnosis,Primary diagnosis:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0229,,Thiopurine metabolites have a half-life of several days so there is no need to sample at any special time. Steady state levels are reached at 2-4 weeks after a dose change. Suggested time of sampling for therapeutic monitoring is 4weeks after dose change.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0230,,Answers to the following questions are required by the analysing laboratory:,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0231,,F6 - Liver Disease (no evidence of benefit in non-bleeding patients),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0232,,F5 - Massive Transfusion / Bleeding (ratio as per Massive Transfusion Protocol),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0233,,C4 - Fibrinogen <1.5g/l secondary to massive transfusion,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0234,,P2 - Bone Marrow Failure - Plt count <20 - with additional risk factors e.g. sepsis,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0235,,"P10 - Immune Thrombocytopenia - Neonatal Alloimmune Thrombocytopenia, to maintain plts >30",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0236,,P3 - Invasive procedures to raise Plt count >50 ( >80 for epidural anaesthesia >100 for eye surgery),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0237,,P4 - Critical Care/Surgery - Massive Blood Transfusion aim for >75 (or >100 if eye/brain trauma),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0238,,"P5 - Critical Care/Surgery - Aquired Platelet Dysfunction e.g. ?drug induced bleeding, not surgically correctable",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0239,,P6 - Critical Care/Surgery - Acute DIC with Bleeding and Thrombocytopenia,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0240,,P7 - Critical Care/Surgery - Patients with Inherited Platelet Dysfunction Disorders,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0241,,P8 - Immune Thrombocytopenia - Primary Immune Thrombocytopenia - for theatre cover or major haemorrhage. Aim for >80. ,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0242,,"R4 - to correct Hb below 90g/l in sepsis, traumatic brain injury or cerebral ischaemia",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0243,,R6 - Chronic anaemia - to alleviate symptoms when Hb >80g/l,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0244,,R7 - Exchange transfusion,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0245,,C3 - Bleeding associated with thrombolytic therapy causing fibrinogen to drop to <1.0g/l,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0246,,"Any special blood requirements such as IRRADIATED or CMV- must be notified to Blood Bank separately, using the  'SPECIAL REQUIREMENTS NOTIFICATION ' form available on the blood transfusion pages of the intranet.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0247,,Please enter time post onset of symptoms in hours.,Time post onset in hours:,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0248,,R5 - Pre radiotherapy to maintain Hb >100g/l (N.B. >110g/l for Paediatrics),,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0249,,A request for T-Spot MUST be discused with a consultant microbiologist,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0250,,YOU MAY BE CHARGED FOR THIS TEST,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0251,,This test will detect both active and latent TB.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0252,,"Urine for chlamydia should be a ''first void urine'', transferred into a cobas PCR Media tube.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0253,,"This patient is in the age-band for opportunistic chlamydia screening. If the patient consents, please make an additional request for chlamydia. We can no longer offer chlamydia testing on a conventional (MC&S) urine.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0254,,"We now accept  ''patient taken''  vaginal swabs, in cobas PCR Media tube. ",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0255,,"Please fill faeces container at least 1/4 full, so we have enough sample for all tests.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0256,,"DO NOT USE THIS FOR REQUESTING CHLAMYDIA TESTING - Choose ''Genital swab - Chlamydia'', if required, in the Virus/Chlamydia section of the full orderable list.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0257,,"If laxatives/enema given in last 48 hours, please do NOT send sample unless advised by Infection Control.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0258,,"PLEASE NOTE - this is suitable only for SEROLOGY, please use Chlamydia PCR request for routine Chlamydia Screening.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0259,,When Renin/Aldosterone Ratio is required please also request ''Renin ****'' analysis,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0260,,"The sample MUST reach MICROBIOLOGY at SHREWSBURY, before 4:30 PM the day it is taken.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0261,,Faeces - Examination for Parasites Required? (Gastro ONLY),Examination for Parasites? ,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0262,,Please contact the Haematology Department when sending requests for Malaria Screening,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0263,,"Please give date of onset of symptoms, if appropriate",Date of onset of symptoms,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0264,,Please ensure that you have requested a serum protein and bilrubin in the last 24hours.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0265,,"If patient <34 years old, please provide relevant clinical details to justify testing",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0266,,Please indicate in Clinical Details if CPE screening is required,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0267,,"Is this for Renal MSSA/MRSA Screening? If YES, please search for RENAL for appropriate request",,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0268,,"Please enter the Medical Officers name who has initiated this request. (If Locum, please enter GMC Number).",Initiator of request:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0269,,***WARNING*** If this is URGENT- then you MUST ring the local lab and SPEAK to the DUTY BIOCHEMIST NOW ! RSH ext1158 & PRH ext4314 ,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0270,,Please enter maternal weight at time of sampling,Weight at sampling:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0271,,"Many anti-hypertensive medications, as well as low Potassium, salt restriction etc. affect this test.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0272,,"If Urgent and you have contacted the Duty Biochemist, please give us the name of the person you have spoken to:  (otherwise just leave blank)",AIS request - spoken with: ,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0273,,Could you please state the actual weight in kgs here.,CHILD IS UNDER 4Kg ** MBFFP **,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0274,,Does this child weigh under 4kgs?,"<4kgs? **If yes, use MBFFP**",Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0275,,"If the child weighs less than 4Kgs, then Methylene Blue treated FFP will normally be supplied",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0276,,Any requests already within TQuest / Review for TC/HDLC will get Non-Fasting Lipids when the sample is received.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0277,,From early October a result for non-HDL cholesterol will be included in all cholesterol/lipid reports. (See NICE CG181). There will be two options for requesting lipids: Non-Fasting and Fasting. ,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0278,,"For information on patient preparation and interpretation of Renin/Aldosterone ratio select ''Aldosterone'' orderable, then, before clicking 'add', click the square ''Info'' button. Click on the link on Biochem Protocols page.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0279,, [ALSO TAKE AN EDTA SPECIMEN FOR THE RENIN TEST],,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0280,,Dose 1 given on:,Dose 1 date:,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0281,,Dose 3 given on:,Dose 3 date:,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0282,,Dose 2 given on:,Dose 2 date:,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0283,,Dose 1 in mgs:,Dose 1:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0284,,Dose 2 in mgs:,Dose 2:,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0285,,Dose 3 in mgs:,Dose 3,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0286,,Is anticoagulant dose advice required?,Needs dosing?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0287,,"**********  WITHOUT THIS INFORMATION, DOSE ADVICE WILL NOT BE GIVEN  **********",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0288,,"If YES, then please give DATES and DOSE. If NO, then simply type 'NA' in the dose boxes below. ",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0289,,This test is only available to Heart Failure Teams - all inpatient or A/E requests will be rejected.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0290,,When making a referral please print and use this form: http://intranet/pathology/Anticoagulant_service/information_sheets.asp,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0291,,Oral fluid testing is also available on children with a cough for more than 2 weeks; please discuss with local HPT if this test is required. Please give date of onset to aid test selection.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0292,,"Guidance from PHE  suggests PERNASAL swab for PCR in infants <1 year old, or where symptoms have been present for less than 3 weeks (all ages). Where symptoms have been present for >3 weeks, Serology is advised. Please give date of onset. ",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0293,,If you are choosing this orderable you MUST PHONE BLOOD BANK TO INFORM THEM ASAP PRHXXXX RSHXXXX,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0294,,"This is suitable for SCREENING of a specific organism, Microbiology will not examine this specimen for pathogens other than that in the screen.",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0295,,Requests for HIT screening must be referred directly to the Laboratory. Please phone RSH 3557 or PRH 4302. ,HIT screen requested,List,,,,,,,,,,,,,,,,,,,,,,,
Q0296,,Do you drink,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0297,,Do you drink?,Do you drink?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0298,,Is the patient taking Metformin?,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0299,,Do you take regular exercise?,Do you take regular exercise?,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0300,,How many Units,,List,,,,,,,,,,,,,,,,,,,,,,,
Q0301,,How much do you drink?,How much do you drink?,List,,,,,,,,,,,,,,,,,,,,,,,
Q0302,,IS THE PATIENT ALLERGIC TO LATEX cec,latex allergy,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0303,,Is examination invasive or does it require gloves to be used ,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0304,,Last Menstrual Period,LMP,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0305,,Test Pathway,,List,,,,,,,,,,,,,,,,,,,,,,,
Q0306,,Is the patient pregnant?,,List,,,,,,,,,,,,,,,,,,,,,,,
Q0307,,Radiolgy reason for request,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0308,,Please provide your contact number for this rquest.,,Numeric,,,,,,,,,,,,,,,,,,,,,,,
Q0309,,Radiology Renal Function,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0310,,Radiology Creatinine Level,,Date,,,,,,,,,,,,,,,,,,,,,,,
Q0311,,Radiology Creatinine Level,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0312,,This is a test questions for field OBX QUESTION,,Multiple selection,,,,,,,,,,,,,,,,,,,,,,,
Q0313,,This is another Test Question,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0314,, Please choose the site that the patient wishes to attend (x-ray),,List,,,,,,,,,,,,,,,,,,,,,,,
Q0315,," The patient can attend the open access service or choose to have an appointment,  please select below:",,List,,,,,,,,,,,,,,,,,,,,,,,
Q0316,, The SaTH Open Access service is 09:00 to 16:00 Monday to Friday with the exception of Bank Holidays.,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0317,," Please advise the patient that they will be contacted by the Radiology deparment shortly, regarding an appointment.",,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0318,,AA This Modality is not yet enabled for your practice.,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0319,, Please choose the site that the patient wishes to attend (US 3),,List,,,,,,,,,,,,,,,,,,,,,,,
Q0320,,This examination requires an appoint booking with radiology.  Please advise the patient that they will be contacted about an appointment. Click 'Yes' to continue or 'No' to cancel.,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0321,,"Consider MRI and specialist referral when pain affects lifestyle or when there are neurological signs or red flag features (including vascular insufficiency, trauma, malignancy, infection, inflammation, and myelopathy). ",,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0322,,Do you wish to change the request to an MRI?,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0323,,Does the patient have a history of malignancy?,,Yes/No,,,,,,,,,,,,,,,,,,,,,,,
Q0324,,Please give details:,,Text,,,,,,,,,,,,,,,,,,,,,,,
Q0325,,Degenerative changes begin in early middle age and are often unrelated to symptoms.,,Info,,,,,,,,,,,,,,,,,,,,,,,
Q0326,, Please choose the site that the patient wishes to attend (mod),,List,,,,,,,,,,,,,,,,,,,,,,,
Q0327,,"Open Access times at this site are 09:00 till 13:00 Monday, Tuesday, Wednesday and Friday. Does the patient wish to attand the Open Access service or do they wish to have an appointment?",WHI,List,,,,,,,,,,,,,,,,,,,,,,,
Q0328,,Open Access times at this site are 09:00 till 16:00 Monday to Friday. Does the patient wish to attand the Open Access service or do they wish to have an appointment?,PRH RSH BN,List,,,,,,,,,,,,,,,,,,,,,,,
Q0329,,Open Access times at this site are 09:00 till 16:30 Monday and Wednesday. Does the patient wish to attand the Open Access service or do they wish to have an appointment?,NEWP,List,,,,,,,,,,,,,,,,,,,,,,,
Q0330,,"Open Access times at this site are 13:00 till 17:00 Monday, Wednesday and Friday. Does the patient wish to attand the Open Access service or do they wish to have an appointment?",LUD (chest only),List,,,,,,,,,,,,,,,,,,,,,,,
Q0331,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0332,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0334,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0335,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0336,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0337,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0339,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0340,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0341,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0342,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0343,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0344,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0345,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0346,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0347,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0349,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0350,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0351,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0354,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0355,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0356,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0357,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0358,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0359,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0360,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0361,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0362,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0363,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0364,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0365,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0366,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0367,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0368,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0369,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0370,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0371,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0373,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0374,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0375,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0376,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0377,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0378,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0379,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0380,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0381,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0382,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0383,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0384,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0385,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0386,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0387,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0388,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0389,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0390,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0391,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0392,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0393,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0394,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0395,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0396,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0397,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0398,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0399,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0400,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0401,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0402,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0403,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0404,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0406,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0407,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0408,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0409,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0410,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0411,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0412,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0413,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0414,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0415,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0416,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0417,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0418,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0419,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0420,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0421,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0422,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0423,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0424,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0425,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0426,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0427,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0428,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0429,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0430,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0432,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0433,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0434,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0435,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0436,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0437,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0438,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0439,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0440,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0441,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0442,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0443,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0444,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0446,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0447,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0448,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0449,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0450,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0451,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0453,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0454,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0455,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0456,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0457,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0458,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0459,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0460,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0461,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0462,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0463,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0464,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0465,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0466,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0467,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0468,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0469,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0470,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0471,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0472,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0473,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0474,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0475,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0477,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0478,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0479,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0480,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0481,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0482,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0483,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0484,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0485,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0486,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0487,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0488,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0489,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0490,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0491,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0492,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0493,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0495,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0496,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0497,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0498,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0499,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0501,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0502,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0503,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0504,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0505,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0506,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0507,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0508,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0509,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0510,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0511,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0512,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0513,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0514,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0515,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0516,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0517,,,,,,,,,,,,,,,,,,,,,,,,,,,
